seq,lesson_id,stage,stage_name,lesson,visual_kind,visual_status,visual_source,segment_or_module,source_url,use_rule,note
78,DE05-09,05,Python for Data Engineering,Calling APIs safely with requests,VIDEO_SUPPORT,VERIFIED WORKSHOP,DataTalksClub — Docker/PostgreSQL data-engineering workshop,Use the matching ingestion / Python-script / PostgreSQL chapter,https://www.youtube.com/watch?v=lP8xXebHmuE,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.","Use only the matching chapter; our Teaching Book adds retries, validation, idempotency, secrets and fresh independent work."
79,DE05-10,05,Python for Data Engineering,Pagination and authentication without leaking secrets,VIDEO_SUPPORT,VERIFIED WORKSHOP,DataTalksClub — Docker/PostgreSQL data-engineering workshop,Use the matching ingestion / Python-script / PostgreSQL chapter,https://www.youtube.com/watch?v=lP8xXebHmuE,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.","Use only the matching chapter; our Teaching Book adds retries, validation, idempotency, secrets and fresh independent work."
80,DE05-11,05,Python for Data Engineering,"Retries, rate limits and partial failure",VIDEO_SUPPORT,VERIFIED WORKSHOP,DataTalksClub — Docker/PostgreSQL data-engineering workshop,Use the matching ingestion / Python-script / PostgreSQL chapter,https://www.youtube.com/watch?v=lP8xXebHmuE,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.","Use only the matching chapter; our Teaching Book adds retries, validation, idempotency, secrets and fresh independent work."
81,DE05-12,05,Python for Data Engineering,Python + PostgreSQL with SQLAlchemy,VIDEO_SUPPORT,VERIFIED WORKSHOP,DataTalksClub — Docker/PostgreSQL data-engineering workshop,Use the matching ingestion / Python-script / PostgreSQL chapter,https://www.youtube.com/watch?v=lP8xXebHmuE,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.","Use only the matching chapter; our Teaching Book adds retries, validation, idempotency, secrets and fresh independent work."
82,DE05-13,05,Python for Data Engineering,"Configuration, environment variables and secret hygiene",VIDEO_SUPPORT,VERIFIED,Luke Barousse — environments / project setup,5:50:56–6:27:15,https://www.youtube.com/watch?v=wUSDVGivd-8,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
83,DE05-14,05,Python for Data Engineering,"Logging, testing and reusable pipeline code",VIDEO_SUPPORT,VERIFIED CONFERENCE VIDEO,PyCon US 2025 — Building Resilient Data Pipelines: The Power of Idempotency,Full ~25-minute talk; focus on resilient pipeline design + pytest strategy,https://www.youtube.com/watch?v=kT8YWX4NE2o,Use this as the testing/reliability visual layer. The Teaching Book still teaches logging and reusable code structure. Close the video before the independent pipeline task.,PyCon US 2025 talk explicitly covers data-pipeline design and testing with pytest; it supplements rather than replaces the course logging/reuse lab.
84,DE05-15,05,Python for Data Engineering,Integrated Python data-engineering pipeline,VIDEO_SUPPORT,VERIFIED WORKSHOP,DataTalksClub — Docker/PostgreSQL data-engineering workshop,Use the matching ingestion / Python-script / PostgreSQL chapter,https://www.youtube.com/watch?v=lP8xXebHmuE,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.","Use only the matching chapter; our Teaching Book adds retries, validation, idempotency, secrets and fresh independent work."
85,DE06-01,06,Git + GitHub + Linux/WSL Engineering Foundations,Verify WSL2 and choose a safe Linux workspace,OFFICIAL_GUIDED,VERIFIED OFFICIAL,Microsoft Learn — WSL / Linux environment guide,Follow the exact current guide + course terminal demo,https://learn.microsoft.com/en-us/windows/wsl/install,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",Official guide is intentionally used because WSL setup changes faster than generic videos.
86,DE06-02,06,Git + GitHub + Linux/WSL Engineering Foundations,Linux navigation and safe file operations,OFFICIAL_GUIDED,VERIFIED OFFICIAL,Microsoft Learn — WSL / Linux environment guide,Follow the exact current guide + course terminal demo,https://learn.microsoft.com/en-us/windows/wsl/install,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",Official guide is intentionally used because WSL setup changes faster than generic videos.
87,DE06-03,06,Git + GitHub + Linux/WSL Engineering Foundations,"Pipes, redirection, command history and inspection",OFFICIAL_GUIDED,VERIFIED OFFICIAL,Microsoft Learn — WSL / Linux environment guide,Follow the exact current guide + course terminal demo,https://learn.microsoft.com/en-us/windows/wsl/install,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",Official guide is intentionally used because WSL setup changes faster than generic videos.
88,DE06-04,06,Git + GitHub + Linux/WSL Engineering Foundations,"Permissions, packages, sudo and command safety",OFFICIAL_GUIDED,VERIFIED OFFICIAL,Microsoft Learn — WSL / Linux environment guide,Follow the exact current guide + course terminal demo,https://learn.microsoft.com/en-us/windows/wsl/install,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",Official guide is intentionally used because WSL setup changes faster than generic videos.
89,DE06-05,06,Git + GitHub + Linux/WSL Engineering Foundations,"Git state: init, status, add, commit, diff and log",VIDEO_PRIMARY,VERIFIED,freeCodeCamp — Git & GitHub Crash Course for Beginners [2026],0:01:04–0:05:41 + 0:14:41–0:20:20,https://www.youtube.com/watch?v=mAFoROnOfHs,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
90,DE06-06,06,Git + GitHub + Linux/WSL Engineering Foundations,"Branches, merges and real conflict resolution",VIDEO_PRIMARY,VERIFIED,freeCodeCamp — Git & GitHub Crash Course for Beginners [2026],0:40:58–0:52:13,https://www.youtube.com/watch?v=mAFoROnOfHs,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
91,DE06-07,06,Git + GitHub + Linux/WSL Engineering Foundations,"GitHub remotes: push, fetch, pull and tracking",VIDEO_PRIMARY,VERIFIED,freeCodeCamp — Git & GitHub Crash Course for Beginners [2026],0:16:04–0:20:20 + 0:55:50–1:00:24,https://www.youtube.com/watch?v=mAFoROnOfHs,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
92,DE06-08,06,Git + GitHub + Linux/WSL Engineering Foundations,Pull requests and review workflow,VIDEO_PRIMARY,VERIFIED,freeCodeCamp — Git & GitHub Crash Course for Beginners [2026],1:16:48–1:19:57,https://www.youtube.com/watch?v=mAFoROnOfHs,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
93,DE06-09,06,Git + GitHub + Linux/WSL Engineering Foundations,Python virtual environments inside a repository,VIDEO_SUPPORT,VERIFIED,Luke Barousse — virtual environments / dependencies,6:10:49–6:27:15,https://www.youtube.com/watch?v=wUSDVGivd-8,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
94,DE06-10,06,Git + GitHub + Linux/WSL Engineering Foundations,".gitignore, secrets and repository hygiene",VIDEO_SUPPORT,VERIFIED,freeCodeCamp — Git & GitHub Crash Course for Beginners [2026],Use repo-hygiene / .gitignore portion; Teaching Book adds secret safety,https://www.youtube.com/watch?v=mAFoROnOfHs,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
95,DE06-11,06,Git + GitHub + Linux/WSL Engineering Foundations,"restore, revert, reflog and safe history repair",VIDEO_SUPPORT,VERIFIED,freeCodeCamp — Git & GitHub Crash Course for Beginners [2026],Use history/repair portion; Teaching Book is authoritative,https://www.youtube.com/watch?v=mAFoROnOfHs,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
96,DE06-12,06,Git + GitHub + Linux/WSL Engineering Foundations,"Shell scripts, exit codes and environment-driven commands",OFFICIAL_GUIDED,VERIFIED OFFICIAL,Microsoft Learn — WSL / Linux environment guide,Follow the exact current guide + course terminal demo,https://learn.microsoft.com/en-us/windows/wsl/install,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",Official guide is intentionally used because WSL setup changes faster than generic videos.
97,DE06-13,06,Git + GitHub + Linux/WSL Engineering Foundations,Repository handoff and clean-clone reproducibility,VIDEO_SUPPORT,VERIFIED,freeCodeCamp — Git & GitHub Crash Course for Beginners [2026],Use clone/push/pull portions; then do clean-clone handoff,https://www.youtube.com/watch?v=mAFoROnOfHs,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
98,DE07-01,07,PostgreSQL + Data Modeling,Verify PostgreSQL connection and database/schema context,VIDEO_PRIMARY,VERIFIED,freeCodeCamp — PostgreSQL Tutorial for Beginners,0:00–17:12,https://www.youtube.com/watch?v=SpfIwlAYaKk,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
99,DE07-02,07,PostgreSQL + Data Modeling,"Tables, data types and explicit DDL",VIDEO_PRIMARY,VERIFIED,freeCodeCamp — detailed PostgreSQL course,41:37–55:55,https://www.youtube.com/watch?v=qw--VYLpxG4,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
100,DE07-03,07,PostgreSQL + Data Modeling,"Primary keys, foreign keys and constraints",VIDEO_PRIMARY,VERIFIED,freeCodeCamp — PostgreSQL constraints,2:29:24–2:49:15 + 3:16:41–3:25:04,https://www.youtube.com/watch?v=qw--VYLpxG4,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
101,DE07-04,07,PostgreSQL + Data Modeling,"Transactions, DML and UPSERT",VIDEO_PRIMARY,VERIFIED,freeCodeCamp — PostgreSQL DML/transactions,2:54:45–3:16:41,https://www.youtube.com/watch?v=qw--VYLpxG4,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
102,DE07-05,07,PostgreSQL + Data Modeling,Indexes and EXPLAIN evidence,VIDEO_SUPPORT,VERIFIED SUPPORT,PostgresConf — Basic understanding of EXPLAIN ANALYZE,Beginner EXPLAIN/ANALYZE class; use the index-scan / sequential-scan sections,https://www.youtube.com/watch?v=Kdjz2e8HYPU,Long or short video is allowed when it teaches the competency well. Watch actively without handwritten notes; type/run/follow when relevant. Use the Teaching Book as ready-made notes. Close video/review/AI solving before the independent task.,Stable PostgreSQL performance concepts; Teaching Book still controls the exact evidence task.
103,DE07-06,07,PostgreSQL + Data Modeling,Operational vs analytical modeling and normalization,VIDEO_PRIMARY,VERIFIED,DataTalksClub DE Zoomcamp — Introduction to data modeling,Main modeling class — operational vs analytical thinking + dimensional-model context,https://www.youtube.com/watch?v=uF76d5EmdtU,Long or short video is allowed when it teaches the competency well. Watch actively without handwritten notes; type/run/follow when relevant. Use the Teaching Book as ready-made notes. Close video/review/AI solving before the independent task.,Use as the visual teacher; course lab supplies the exact PostgreSQL implementation.
104,DE07-07,07,PostgreSQL + Data Modeling,"Facts, dimensions and star-schema grain",VIDEO_PRIMARY,VERIFIED,DataTalksClub DE Zoomcamp — Introduction to data modeling,"Main modeling class — facts, dimensions, grain and star-schema reasoning",https://www.youtube.com/watch?v=uF76d5EmdtU,Long or short video is allowed when it teaches the competency well. Watch actively without handwritten notes; type/run/follow when relevant. Use the Teaching Book as ready-made notes. Close video/review/AI solving before the independent task.,One coherent class may support several lessons. Do not rewatch from zero if the relevant idea is already clear.
105,DE07-08,07,PostgreSQL + Data Modeling,Surrogate keys and referential integrity,VIDEO_SUPPORT,VERIFIED SUPPORT,DataTalksClub DE Zoomcamp — Introduction to data modeling,Main modeling class — dimensional model keys/grain; Teaching Book adds surrogate-key rules,https://www.youtube.com/watch?v=uF76d5EmdtU,Long or short video is allowed when it teaches the competency well. Watch actively without handwritten notes; type/run/follow when relevant. Use the Teaching Book as ready-made notes. Close video/review/AI solving before the independent task.,Video gives the model; the book/lab handles the exact referential-integrity implementation.
106,DE07-09,07,PostgreSQL + Data Modeling,Slowly Changing Dimension Type 2 history,VIDEO_PRIMARY,STABLE CONCEPT — VERIFIED,TechLake — Slowly Changing Dimensions and Types,Whole focused SCD class; concentrate on Type 1 vs Type 2 history,https://www.youtube.com/watch?v=-XjPvozl-So,Long or short video is allowed when it teaches the competency well. Watch actively without handwritten notes; type/run/follow when relevant. Use the Teaching Book as ready-made notes. Close video/review/AI solving before the independent task.,Older recording is acceptable here because SCD Type 1/2 concepts are stable; implementation is validated in our current PostgreSQL lab.
107,DE07-10,07,PostgreSQL + Data Modeling,Build and validate a small analytical database,VIDEO_SUPPORT,VERIFIED SUPPORT,DataTalksClub DE Zoomcamp — Introduction to data modeling,Revisit only the model-design parts needed before building the analytical database,https://www.youtube.com/watch?v=uF76d5EmdtU,Long or short video is allowed when it teaches the competency well. Watch actively without handwritten notes; type/run/follow when relevant. Use the Teaching Book as ready-made notes. Close video/review/AI solving before the independent task.,Build remains independent; this is not a copy-the-project solution.
108,DE07-11,07,PostgreSQL + Data Modeling,Bulk loading with COPY / staging boundaries,VIDEO_SUPPORT,VERIFIED,freeCodeCamp — PostgreSQL detailed course,Use COPY / loading section if present; Teaching Book is authoritative,https://www.youtube.com/watch?v=qw--VYLpxG4,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
109,DE07-12,07,PostgreSQL + Data Modeling,"Schemas, roles and least-privilege boundaries",VIDEO_SUPPORT,VERIFIED,freeCodeCamp — PostgreSQL detailed course,Use roles/privileges section if present; Teaching Book is authoritative,https://www.youtube.com/watch?v=qw--VYLpxG4,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
110,DE07-13,07,PostgreSQL + Data Modeling,"Schema change, backup/restore and handoff validation",VIDEO_SUPPORT,VERIFIED,freeCodeCamp — PostgreSQL detailed course,Use backup/restore/schema-change support only; Teaching Book is authoritative,https://www.youtube.com/watch?v=qw--VYLpxG4,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
111,DE08-01,08,"Files, APIs & Data Ingestion",Ingestion architecture: source -> landing -> staging,VIDEO_SUPPORT,VERIFIED WORKSHOP,DataTalksClub — Docker/PostgreSQL data-engineering workshop,Use matching data-ingestion / script / database chapter,https://www.youtube.com/watch?v=lP8xXebHmuE,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
112,DE08-02,08,"Files, APIs & Data Ingestion",Defensive CSV ingestion,VIDEO_SUPPORT,VERIFIED WORKSHOP,DataTalksClub — Docker/PostgreSQL data-engineering workshop,Use matching data-ingestion / script / database chapter,https://www.youtube.com/watch?v=lP8xXebHmuE,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
113,DE08-03,08,"Files, APIs & Data Ingestion",JSON and nested-record ingestion,VIDEO_SUPPORT,VERIFIED WORKSHOP,DataTalksClub — Docker/PostgreSQL data-engineering workshop,Use matching data-ingestion / script / database chapter,https://www.youtube.com/watch?v=lP8xXebHmuE,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
114,DE08-04,08,"Files, APIs & Data Ingestion",Parquet ingestion and metadata inspection,LONG_CLASS,CURRENT 2026,DataTalksClub DE Zoomcamp 2026 — From APIs to Warehouses with dlt,Long-form main class — file/API ingestion and warehouse loading; use Parquet/file portions when reached,https://www.youtube.com/watch?v=5eMytPBgmVs,Long or short video is allowed when it teaches the competency well. Watch actively without handwritten notes; type/run/follow when relevant. Use the Teaching Book as ready-made notes. Close video/review/AI solving before the independent task.,"Long-form class is allowed. Watch coherently, then use the lesson-specific book/lab and do the independent task without the video."
115,DE08-05,08,"Files, APIs & Data Ingestion","REST API contracts, status codes and timeouts",VIDEO_SUPPORT,VERIFIED WORKSHOP,DataTalksClub — Docker/PostgreSQL data-engineering workshop,Use matching data-ingestion / script / database chapter,https://www.youtube.com/watch?v=lP8xXebHmuE,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
116,DE08-06,08,"Files, APIs & Data Ingestion","API authentication, pagination and rate limits",LONG_CLASS,CURRENT 2026,DataTalksClub DE Zoomcamp 2026 — From APIs to Warehouses with dlt,"Long-form main class — API extraction, authentication/pagination/rate-limit reliability concepts",https://www.youtube.com/watch?v=5eMytPBgmVs,Long or short video is allowed when it teaches the competency well. Watch actively without handwritten notes; type/run/follow when relevant. Use the Teaching Book as ready-made notes. Close video/review/AI solving before the independent task.,"The workshop is a main class, not a note-taking assignment. Type/run; do not transcribe."
117,DE08-07,08,"Files, APIs & Data Ingestion","Retries, backoff, jitter and transient failures",LONG_CLASS,CURRENT 2026,DataTalksClub DE Zoomcamp 2026 — From APIs to Warehouses with dlt,Long-form main class — reliable ingestion/failure handling; course lab adds explicit backoff/jitter evidence,https://www.youtube.com/watch?v=5eMytPBgmVs,Long or short video is allowed when it teaches the competency well. Watch actively without handwritten notes; type/run/follow when relevant. Use the Teaching Book as ready-made notes. Close video/review/AI solving before the independent task.,Workshop provides the visual workflow; our task proves retry behavior.
118,DE08-08,08,"Files, APIs & Data Ingestion",Database extraction and safe query boundaries,VIDEO_SUPPORT,VERIFIED WORKSHOP,DataTalksClub — Docker/PostgreSQL data-engineering workshop,Use matching data-ingestion / script / database chapter,https://www.youtube.com/watch?v=lP8xXebHmuE,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
119,DE08-09,08,"Files, APIs & Data Ingestion",Historical batch landing and raw metadata,VIDEO_SUPPORT,VERIFIED WORKSHOP,DataTalksClub — Docker/PostgreSQL data-engineering workshop,Use matching data-ingestion / script / database chapter,https://www.youtube.com/watch?v=lP8xXebHmuE,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
120,DE08-10,08,"Files, APIs & Data Ingestion",Incremental loads and high-water marks,VIDEO_SUPPORT,VERIFIED WORKSHOP,DataTalksClub — Docker/PostgreSQL data-engineering workshop,Use matching data-ingestion / script / database chapter,https://www.youtube.com/watch?v=lP8xXebHmuE,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
121,DE08-11,08,"Files, APIs & Data Ingestion",CDC concepts and change-event semantics,VIDEO_SUPPORT,VERIFIED 2025 VIDEO,Binod Suman Academy — Change Data Capture with Debezium/Kafka,What/why/how CDC + Debezium/MySQL/Kafka demo,https://www.youtube.com/watch?v=dN_11nBcv_A,Use for the CDC event mental model and real demo. Teaching Book remains authoritative for generic change-event semantics and failure reasoning.,Published 2025; tool-specific demo used to make the abstract CDC concept visible.
122,DE08-12,08,"Files, APIs & Data Ingestion","Schema drift, compatibility, time zones and quarantine",LONG_CLASS,CURRENT 2026,DataTalksClub DE Zoomcamp 2026 — From APIs to Warehouses with dlt,Long-form main class — schema normalization/change validation; book adds compatibility/time-zone/quarantine rules,https://www.youtube.com/watch?v=5eMytPBgmVs,Long or short video is allowed when it teaches the competency well. Watch actively without handwritten notes; type/run/follow when relevant. Use the Teaching Book as ready-made notes. Close video/review/AI solving before the independent task.,Use current workshop plus our stricter data-contract exercises.
123,DE08-13,08,"Files, APIs & Data Ingestion",Checkpoint/state management and replay safety,LONG_CLASS,CURRENT 2026,DataTalksClub DE Zoomcamp 2026 — From APIs to Warehouses with dlt,Long-form main class — incremental/stateful ingestion; course task proves checkpoint/replay safety,https://www.youtube.com/watch?v=5eMytPBgmVs,Long or short video is allowed when it teaches the competency well. Watch actively without handwritten notes; type/run/follow when relevant. Use the Teaching Book as ready-made notes. Close video/review/AI solving before the independent task.,No handwritten notes: save runnable state/checkpoint evidence instead.
124,DE08-14,08,"Files, APIs & Data Ingestion",Idempotent landing and content identity,VIDEO_PRIMARY,VERIFIED CONFERENCE VIDEO,PyCon US 2025 — Building Resilient Data Pipelines: The Power of Idempotency,Full ~25-minute talk — pitfalls → idempotent design → pytest strategy,https://www.youtube.com/watch?v=kT8YWX4NE2o,"Watch the talk, then implement the course idempotent landing/content-identity task. Watching alone does not pass the lesson.",PyCon US 2025 program confirms topic and presenter.
125,DE08-15,08,"Files, APIs & Data Ingestion","Late-arriving data, event time and processing time",OFFICIAL_VIDEO_COURSE,VERIFIED OFFICIAL CURRENT COURSE,Confluent Developer — Event Time and Watermarks,"12-minute video: event time vs processing time, out-of-order events, watermarks and late data",https://developer.confluent.io/courses/apache-flink/timely-stream-processing/,Use the official video to see why event time differs from processing time; course task applies the concept without requiring Flink mastery.,Official Confluent course page with hands-on exercises; current as audited 2026-08-28.
126,DE08-16,08,"Files, APIs & Data Ingestion","Ingestion observability: counts, latency and run metadata",LONG_CLASS,CURRENT 2026,DataTalksClub DE Zoomcamp 2026 — From APIs to Warehouses with dlt,Long-form main class — pipeline metadata/validation/dashboard concepts; course lab adds counts/latency/run metadata,https://www.youtube.com/watch?v=5eMytPBgmVs,Long or short video is allowed when it teaches the competency well. Watch actively without handwritten notes; type/run/follow when relevant. Use the Teaching Book as ready-made notes. Close video/review/AI solving before the independent task.,"Evidence should be output/logs, not copied lecture notes."
127,DE08-17,08,"Files, APIs & Data Ingestion","Ingestion integration, reconciliation and backfill proof",VIDEO_SUPPORT,VERIFIED WORKSHOP,DataTalksClub — Docker/PostgreSQL data-engineering workshop,Use matching data-ingestion / script / database chapter,https://www.youtube.com/watch?v=lP8xXebHmuE,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
128,DE09-01,09,ETL/ELT + Data Quality + Transformation Engineering,ETL vs ELT and transformation boundaries,VIDEO_PRIMARY,VERIFIED,DataTalksClub DE Zoomcamp — Introduction to Analytics Engineering,Whole introduction — ETL/ELT boundary and analytics-engineering role,https://www.youtube.com/watch?v=HxMIsPrIyGQ,Long or short video is allowed when it teaches the competency well. Watch actively without handwritten notes; type/run/follow when relevant. Use the Teaching Book as ready-made notes. Close video/review/AI solving before the independent task.,Book retains our DE-specific boundaries and reliability rules.
129,DE09-02,09,ETL/ELT + Data Quality + Transformation Engineering,"Raw, staging, clean/intermediate and serving contracts",VIDEO_PRIMARY,VERIFIED,DataTalksClub DE Zoomcamp — dbt Project Structure,Whole focused lesson — project layers/structure; map to raw → staging → intermediate → serving,https://www.youtube.com/watch?v=2dYDS4OQbT0,Long or short video is allowed when it teaches the competency well. Watch actively without handwritten notes; type/run/follow when relevant. Use the Teaching Book as ready-made notes. Close video/review/AI solving before the independent task.,Use as visual teacher; do not replace our contract/evidence task.
130,DE09-03,09,ETL/ELT + Data Quality + Transformation Engineering,Deterministic transformations and production SQL style,VIDEO_PRIMARY,VERIFIED,DataTalksClub DE Zoomcamp — dbt Models,Whole focused lesson — deterministic SQL models and dependencies,https://www.youtube.com/watch?v=JQYz-8sl1aQ,Long or short video is allowed when it teaches the competency well. Watch actively without handwritten notes; type/run/follow when relevant. Use the Teaching Book as ready-made notes. Close video/review/AI solving before the independent task.,Course book adds production SQL style and rerun correctness.
131,DE09-04,09,ETL/ELT + Data Quality + Transformation Engineering,Deduplication and key integrity,VIDEO_SUPPORT,VERIFIED SUPPORT,DataTalksClub DE Zoomcamp — dbt Tests,Focused tests class — uniqueness/not-null/relationship thinking; book adds dedup key-integrity workflow,https://www.youtube.com/watch?v=bvZ-rJm7uMU,Long or short video is allowed when it teaches the competency well. Watch actively without handwritten notes; type/run/follow when relevant. Use the Teaching Book as ready-made notes. Close video/review/AI solving before the independent task.,Testing video reinforces the key-integrity objective; independent dedup implementation stays course-owned.
132,DE09-05,09,ETL/ELT + Data Quality + Transformation Engineering,Schema checks and data contracts,LONG_CLASS,VERIFIED OFFICIAL CONFLUENT,Confluent — How to use Data Contracts for Long-Term Schema Management,"0:00–17:00: data-contract purpose, JSON-blob problems, Avro/Protobuf advantages; book/lab adds batch schema checks and quarantine",https://www.youtube.com/watch?v=ZIJB8cs-cJU,"Watch the assigned contract/schema section, then implement the course schema checks and failure handling. The streaming examples are a concept bridge, not a replacement for the batch contract lab.",Explicitly strengthens data-contract depth found in modern DE programs without adding a second full course.
133,DE09-06,09,ETL/ELT + Data Quality + Transformation Engineering,Source-to-target reconciliation,VIDEO_SUPPORT,VERIFIED SUPPORT,DataTalksClub DE Zoomcamp — dbt Sources,Sources/freshness context; pair with our source-to-target reconciliation lab,https://www.youtube.com/watch?v=7CrrXazV_8k,Long or short video is allowed when it teaches the competency well. Watch actively without handwritten notes; type/run/follow when relevant. Use the Teaching Book as ready-made notes. Close video/review/AI solving before the independent task.,Reconciliation proof remains our controlled task.
134,DE09-07,09,ETL/ELT + Data Quality + Transformation Engineering,Incremental processing and safe reruns,LONG_CLASS,CURRENT 2026,DataTalksClub DE Zoomcamp 2026 — From APIs to Warehouses with dlt,Long-form main class — incremental loading; book/lab proves safe rerun and watermark/state behavior,https://www.youtube.com/watch?v=5eMytPBgmVs,Long or short video is allowed when it teaches the competency well. Watch actively without handwritten notes; type/run/follow when relevant. Use the Teaching Book as ready-made notes. Close video/review/AI solving before the independent task.,Use the long class once; later revisit only the incremental section.
135,DE09-08,09,ETL/ELT + Data Quality + Transformation Engineering,"Failure behavior, retries, quarantine and atomic state",VIDEO_SUPPORT,VERIFIED SUPPORT,DataTalksClub DE Zoomcamp — dbt Commands,Focused commands/build class; course failure lab adds retry/quarantine/atomic-state behavior,https://www.youtube.com/watch?v=t4OeWHW3SsA,Long or short video is allowed when it teaches the competency well. Watch actively without handwritten notes; type/run/follow when relevant. Use the Teaching Book as ready-made notes. Close video/review/AI solving before the independent task.,Video shows operation; our failure scenarios prove reliability.
136,DE09-09,09,ETL/ELT + Data Quality + Transformation Engineering,"Lineage, run metadata and auditability",VIDEO_PRIMARY,VERIFIED,DataTalksClub DE Zoomcamp — dbt Documentation,Whole focused lesson — documentation/lineage context,https://www.youtube.com/watch?v=UqoWyMjcqrA,Long or short video is allowed when it teaches the competency well. Watch actively without handwritten notes; type/run/follow when relevant. Use the Teaching Book as ready-made notes. Close video/review/AI solving before the independent task.,Course adds run metadata and auditability evidence.
137,DE09-10,09,ETL/ELT + Data Quality + Transformation Engineering,Build and defend a reliable batch pipeline,VIDEO_SUPPORT,VERIFIED SUPPORT,DataTalksClub DE Zoomcamp — dbt video course sequence,Main-class review: project structure → sources → models → tests → docs; then close video and build independently,https://www.youtube.com/watch?v=2dYDS4OQbT0,Long or short video is allowed when it teaches the competency well. Watch actively without handwritten notes; type/run/follow when relevant. Use the Teaching Book as ready-made notes. Close video/review/AI solving before the independent task.,Do not copy a finished project. This is pre-build consolidation only.
138,DE09-11,09,ETL/ELT + Data Quality + Transformation Engineering,"dbt-style project anatomy, sources and dependency graph",VIDEO_PRIMARY,VERIFIED 2026 MODULE,DataTalksClub Zoomcamp — dbt project structure,Whole focused lesson,https://www.youtube.com/watch?v=2dYDS4OQbT0,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
139,DE09-12,09,ETL/ELT + Data Quality + Transformation Engineering,"Executable data tests, quality severity and CI boundaries",VIDEO_PRIMARY,VERIFIED 2026 MODULE,DataTalksClub Zoomcamp — dbt tests,Whole focused lesson,https://www.youtube.com/watch?v=bvZ-rJm7uMU,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
140,DE09-13,09,ETL/ELT + Data Quality + Transformation Engineering,"Incremental models, materialization, documentation and handoff",VIDEO_PRIMARY,VERIFIED 2026 MODULE,DataTalksClub Zoomcamp — dbt models + commands,Whole focused lesson; then use dbt commands lesson if needed,https://www.youtube.com/watch?v=JQYz-8sl1aQ,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",Companion command video: https://www.youtube.com/watch?v=t4OeWHW3SsA
141,DE10-01,10,Docker + Airflow,Why containers exist,VIDEO_PRIMARY,VERIFIED 2026 WORKSHOP,DataTalksClub Zoomcamp — Docker & PostgreSQL DE workshop,Use the matching Docker / Dockerfile / networking / Compose chapter,https://www.youtube.com/watch?v=lP8xXebHmuE,"Watch the assigned visual first, then use the Teaching Book for the course-specific build. Close the visual before the independent task.",
